Table B.103 Balance Sheet of Nonfinancial Corporate Business from Z.1 Federal Accounts of the United States,,,,,,,,,,,,,,
,Q2,6,30,6/30/29,141089.843368981,231271.38613866,1.63917813370757,0.494194978241311,2.38543255826798,2.38543255826799,1,,1964-04-01,3.47
,Q3,9,30,9/30/29,141764.896088478,276818.140961378,1.95265646573473,0.669190735620712,2.84162545405641,2.84162545405642,1,,1964-05-01,3.50
,Q4,12,31,12/31/29,142439.948807976,189262.243341006,1.32871603033326,0.284213085217037,1.93362906341392,1.93362906341392,1,,1964-06-01,3.50
1930,Q1,3,31,3/31/30,138670.563899336,140914.613966809,1.01618259855857,0.0160530559987667,1.47881124442783,1.47881124442783,1,,1964-07-01,3.42
,Q2,6,30,6/30/30,134901.178990696,126670.112471417,0.938984473072347,-0.0629563355097931,1.36646779731536,1.36646779731536,1,,1964-08-01,3.50
,Q3,9,30,9/30/30,131131.794082056,122314.355815801,0.932758959579723,-0.0696084613738289,1.35740804824242,1.35740804824242,1,,1964-09-01,3.45
,Q4,12,31,12/31/30,127362.409173416,91294.3050386468,0.716807303121449,-0.332948228866833,1.04314195248728,1.04314195248728,1,,1964-10-01,3.36
1931,Q1,3,31,3/31/31,124051.183170896,104990.930128409,0.846351702939994,-0.166820281250049,1.23166290863833,1.23166290863833,1,,1964-11-01,3.52
,Q2,6,30,6/30/31,120739.957168377,83070.4050702243,0.688010887351725,-0.373950616534866,1.00123564204673,1.00123564204673,1,,1964-12-01,3.85
,Q3,9,30,9/30/31,117428.731165857,70852.4074968099,0.603365179827563,-0.505232660538835,0.878054016759265,0.878054016759265,1,,1965-01-01,3.90
,Q4,12,31,12/31/31,114117.505163338,50548.9703527537,0.442955445620742,-0.814286088214471,0.644615932897948,0.644615932897948,1,,1965-02-01,3.98
1932,Q1,3,31,3/31/32,111655.769955539,53408.1897735633,0.478328973010802,-0.737456555154933,0.696093659571971,0.696093659571971,1,,1965-03-01,4.05
,Q2,6,30,6/30/32,109194.034747741,30842.2597118519,0.282453705306369,-1.26424061684632,0.411043956105778,0.411043956105777,1,,1965-04-01,4.09
,Q3,9,30,9/30/32,106732.299539942,53408.1897735633,0.500393882674444,-0.69235972533532,0.728203869453702,0.728203869453702,1,,1965-05-01,4.10
,Q4,12,31,12/31/32,104270.564332144,44097.3189171552,0.42291244129731,-0.860590115931199,0.615448123679752,0.615448123679752,1,,1965-06-01,4.05
1933,Q1,3,31,3/31/33,103209.987071795,37448.9165720083,0.362841984913321,-1.01378784275835,0.528029911161093,0.528029911161095,1,,1965-07-01,4.09
,Q2,6,30,6/30/33,102149.409811446,62454.9347003477,0.611407690124016,-0.491991291711118,0.889757971025645,0.889757971025645,1,,1965-08-01,4.12
,Q3,9,30,9/30/33,101088.832551098,63597.0364898632,0.629120298305121,-0.463432787300988,0.915534444843951,0.915534444843951,1,,1965-09-01,4.02
,Q4,12,31,12/31/33,100028.255290749,59930.2886393135,0.599133599452635,-0.512270668252319,0.871895961455995,0.871895961455996,1,,1965-10-01,4.08
1934,Q1,3,31,3/31/34,99958.7244444677,64999.1009412362,0.650259407595248,-0.430383907099057,0.946297373238682,0.946297373238681,1,,1965-11-01,4.10
,Q2,6,30,6/30/34,99889.193598186,60157.4546886301,0.602241869432036,-0.507096137898692,0.876419306574063,0.876419306574064,1,,1965-12-01,4.32
,Q3,9,30,9/30/34,99819.6627519044,53742.2734039271,0.538393658346655,-0.619165279423338,0.783503473707416,0.783503473707417,1,,1966-01-01,4.42
,Q4,12,31,12/31/34,99750.1319056228,56042.055373915,0.561824373595199,-0.576565980427173,0.817601287647237,0.817601287647237,1,,1966-02-01,4.60
1935,Q1,3,31,3/31/35,100123.806507419,50154.3122155008,0.500922946949529,-0.691302988229409,0.728973796236674,0.728973796236674,1,,1966-03-01,4.66
,Q2,6,30,6/30/35,100497.481109215,60352.1569109237,0.60053402577659,-0.509935976658377,0.873933947736999,0.873933947737,1,,1966-04-01,4.67
,Q3,9,30,9/30/35,100871.155711011,69237.9981952396,0.686400365963901,-0.376294197644335,0.998891912542713,0.998891912542714,1,,1966-05-01,4.90
,Q4,12,31,12/31/35,101244.830312807,77766.0203674353,0.768098678492212,-0.263837066468224,1.11778430785535,1.11778430785535,1,,1966-06-01,5.17
1936,Q1,3,31,3/31/36,103248.932076802,91566.2832760414,0.886849688749609,-0.120079771292312,1.29059806151035,1.29059806151035,1,,1966-07-01,5.30
,Q2,6,30,6/30/36,105253.033840798,90518.7551362751,0.86001088836252,-0.150810228928081,1.25154059304388,1.25154059304388,1,,1966-08-01,5.53
,Q3,9,30,9/30/36,107257.135604793,98898.9802544054,0.922073666211033,-0.081130160340632,1.34185815395566,1.34185815395566,1,,1966-09-01,5.40
,Q4,12,31,12/31/36,109261.237368788,105122.529790664,0.962120989311565,-0.0386150677094869,1.40013747481227,1.40013747481227,1,,1966-10-01,5.53
1937,Q1,3,31,3/31/37,111948.899871213,109094.88170546,0.974506063310704,-0.0258245380829144,1.41816099412758,1.41816099412758,1,,1966-11-01,5.76
,Q2,6,30,6/30/37,114636.562373637,94319.7318890769,0.82277180976222,-0.195076383139053,1.19734800182615,1.19734800182615,1,,1966-12-01,5.40
,Q3,9,30,9/30/37,117324.224876061,86660.7766781352,0.738643504951189,-0.302939876387697,1.07491933270145,1.07491933270145,1,,1967-01-01,4.94
,Q4,12,31,12/31/37,120011.887378486,66458.0208067536,0.553761983570531,-0.591020317097526,0.805868403181045,0.805868403181046,1,,1967-02-01,5.00
1938,Q1,3,31,3/31/38,119886.900740561,62712.1321217768,0.523094113989049,-0.647993880840453,0.76123863836902,0.76123863836902,1,,1967-03-01,4.53
,Q2,6,30,6/30/38,119761.914102636,62103.8670187528,0.518561075815219,-0.656697464970528,0.754641883187039,0.754641883187039,1,,1967-04-01,4.05
,Q3,9,30,9/30/38,119636.92746471,71471.1496053227,0.597400410725233,-0.51516768567905,0.869373718915694,0.869373718915695,1,,1967-05-01,3.94
,Q4,12,31,12/31/38,119511.940826785,77188.8415737485,0.645867191510365,-0.43716138223248,0.939905550997782,0.939905550997782,1,,1967-06-01,3.98
1939,Q1,3,31,3/31/39,120183.013923529,76038.199218797,0.632686739468684,-0.457779861688599,0.92072454877089,0.920724548770891,1,,1967-07-01,3.79
,Q2,6,30,6/30/39,120854.087020272,70146.6196183091,0.580424058034072,-0.543996308048821,0.844668689244185,0.844668689244185,1,,1967-08-01,3.90
,Q3,9,30,9/30/39,121525.160117016,78370.2828106567,0.644889360649221,-0.438676510777159,0.938482551553923,0.938482551553923,1,,1967-09-01,3.99
,Q4,12,31,12/31/39,122196.233213759,75915.4579771201,0.621258577130774,-0.476007895419885,0.904093585996661,0.904093585996661,1,,1967-10-01,3.88
1940,Q1,3,31,3/31/40,125066.185233891,74353.8363908314,0.594515905732469,-0.520007808402696,0.865176010330684,0.865176010330684,1,,1967-11-01,4.13
,Q2,6,30,6/30/40,127936.137254022,59177.0862468593,0.462551766193792,-0.77099680138751,0.673133700525483,0.673133700525484,1,,1967-12-01,4.51
,Q3,9,30,9/30/40,130806.089274154,65051.9572703324,0.497315970772517,-0.698529698811269,0.72372470327197,0.72372470327197,1,,1968-01-01,4.61
,Q4,12,31,12/31/40,133676.041294286,64439.9915387206,0.482060890753466,-0.729684843546382,0.701524575166234,0.701524575166235,1,,1968-02-01,4.71
1941,Q1,3,31,3/31/41,140029.163118606,62836.0936847987,0.448735765360362,-0.801321060328192,0.653027808715801,0.653027808715801,1,,1968-03-01,5.05
,Q2,6,30,6/30/41,146382.284942927,61636.2084787573,0.421063303546523,-0.864972091884815,0.612757145008951,0.612757145008952,1,,1968-04-01,5.76
,Q3,9,30,9/30/41,152735.406767248,64667.4974203355,0.423395588417044,-0.859448339756902,0.616151229001954,0.616151229001954,1,,1968-05-01,6.12
,Q4,12,31,12/31/41,159088.528591569,55321.0231838027,0.347737348968947,-1.05630782851267,0.506048718500236,0.506048718500235,1,,1968-06-01,6.07
1942,Q1,3,31,3/31/42,163327.606219878,55483.5759180518,0.339707274245835,-1.07967099030971,0.494362861242907,0.494362861242909,1,,1968-07-01,6.03
,Q2,6,30,6/30/42,167566.683848187,56501.0009043242,0.337185170743805,-1.08712303144958,0.490692541534912,0.490692541534913,1,,1968-08-01,6.03
,Q3,9,30,9/30/42,171805.761476497,58874.9925389596,0.342683458534734,-1.07094811932974,0.498693987162753,0.498693987162755,1,,1968-09-01,5.78
,Q4,12,31,12/31/42,176044.839104806,64572.5724620848,0.366796168467298,-1.00294898449054,0.533784281596534,0.533784281596534,1,,1968-10-01,5.91
1943,Q1,3,31,3/31/43,177705.551743454,75382.6339537745,0.424199656196455,-0.857551047327001,0.617321357751612,0.617321357751612,1,,1968-11-01,5.82
,Q2,6,30,6/30/43,179366.264382103,82396.5556314969,0.45937599199796,-0.777886249566026,0.668512119131331,0.668512119131331,1,,1968-12-01,6.02
,Q3,9,30,9/30/43,181026.977020751,81647.496034847,0.451023915764156,-0.796234912583511,0.656357665525859,0.656357665525859,1,,1969-01-01,6.30
,Q4,12,31,12/31/43,182687.689659399,78174.5833594698,0.427913799256084,-0.848833507292051,0.622726406536922,0.622726406536922,1,,1969-02-01,6.61
1944,Q1,3,31,3/31/44,184878.517745939,82791.8974264018,0.447817834304442,-0.803368749115579,0.651691979142425,0.651691979142426,1,,1969-03-01,6.79
,Q2,6,30,6/30/44,187069.345832478,86692.0116026869,0.463421792688152,-0.769117640277481,0.674399816442676,0.674399816442677,1,,1969-04-01,7.41
,Q3,9,30,9/30/44,189260.173919018,86213.0502126168,0.455526635252413,-0.78630108923339,0.662910299097014,0.662910299097015,1,,1969-05-01,8.67
,Q4,12,31,12/31/44,191451.002005557,89634.2029988318,0.468183514632272,-0.758894934642884,0.681329366273378,0.681329366273378,1,,1969-06-01,8.90
1945,Q1,3,31,3/31/45,196970.36830123,92259.2913652735,0.468391728974075,-0.758450305454456,0.681632372554283,0.681632372554283,1,,1969-07-01,8.61
,Q2,6,30,6/30/45,202489.734596903,99942.0464251239,0.493565990513439,-0.706098709669438,0.718267501995965,0.718267501995966,1,,1969-08-01,9.19
,Q3,9,30,9/30/45,208009.100892576,104909.3449552,0.504349783278854,-0.684485237185253,0.733960738646245,0.733960738646245,1,,1969-09-01,9.15
,Q4,12,31,12/31/45,213528.467188249,114777.711368284,0.537528849804812,-0.620772846365256,0.782244951274766,0.782244951274767,1,,1969-10-01,9.00
1946,Q1,3,31,3/31/46,242008.602301629,115363.252543942,0.476690710358131,-0.74088740435765,0.693709559277857,0.693709559277858,1,,1969-11-01,8.85
,Q2,6,30,6/30/46,237098.234178632,122273.202068822,0.515706928364132,-0.662216643142227,0.75048835275864,0.75048835275864,1,,1969-12-01,8.97
,Q3,9,30,9/30/46,233169.939680235,99305.8460289839,0.425894719384369,-0.853563100851672,0.61978811766844,0.61978811766844,1,,1970-01-01,8.98
,Q4,12,31,12/31/46,229241.645181838,99569.0822013603,0.434341160491937,-0.833924969601202,0.632079896826031,0.632079896826031,1,,1970-02-01,8.98
1947,Q1,3,31,3/31/47,296297.98522574,97045.5940406456,0.327527012938376,-1.11618474505372,0.476637397918612,0.476637397918612,1,,1970-03-01,7.76
,Q2,6,30,6/30/47,284736.547287136,94997.1382297613,0.333631699670656,-1.09771759001837,0.485521312479057,0.485521312479056,1,,1970-04-01,8.10
,Q3,9,30,9/30/47,275487.396936253,96405.4515997443,0.349945052557349,-1.04997912951661,0.509261504170372,0.509261504170373,1,,1970-05-01,7.95
,Q4,12,31,12/31/47,266238.24658537,96213.4088674738,0.361380868832543,-1.01782283849374,0.525903605423589,0.525903605423589,1,,1970-06-01,7.61
1948,Q1,3,31,3/31/48,309089.382683212,90232.9183784746,0.291931471715918,-1.23123619016129,0.424836583098586,0.424836583098586,1,,1970-07-01,7.21
,Q2,6,30,6/30/48,301701.255769791,106134.103994821,0.351785423378566,-1.04473388193573,0.511939724667546,0.511939724667548,1,,1970-08-01,6.62
,Q3,9,30,9/30/48,295790.754239054,99445.5100450881,0.336202226134214,-1.09004243657144,0.489262100250665,0.489262100250664,1,,1970-09-01,6.29
,Q4,12,31,12/31/48,289880.252708317,95848.8132985335,0.330649681732472,-1.10669582741305,0.481181697074967,0.481181697074967,1,,1970-10-01,6.20
1949,Q1,3,31,3/31/49,308258.398862465,94881.8227749471,0.307799635387324,-1.17830624215465,0.447928908138381,0.447928908138379,1,,1970-11-01,5.60
,Q2,6,30,6/30/49,305089.752973819,88900.0043035554,0.291389676110113,-1.23309381443439,0.424048128902279,0.42404812890228,1,,1970-12-01,4.90
,Q3,9,30,9/30/49,302554.836262902,98572.7320445292,0.325801210987338,-1.12146786585567,0.474125905068338,0.47412590506834,1,,1971-01-01,4.14
,Q4,12,31,12/31/49,300019.919551985,105254.550549807,0.350825207562824,-1.04746716370306,0.510542359718166,0.510542359718167,1,,1971-02-01,3.72
1950,Q1,3,31,3/31/50,343168.805275926,110908.048913385,0.323188026441416,-1.12952099992301,0.470323038638865,0.470323038638865,1,,1971-03-01,3.71
,Q2,6,30,6/30/50,335729.342220074,119793.477615955,0.356815632568181,-1.03053606598443,0.519259993605411,0.519259993605413,1,,1971-04-01,4.16
,Q3,9,30,9/30/50,329777.771775392,121966.891830973,0.369845702984625,-0.994669379280928,0.538222151267684,0.538222151267684,1,,1971-05-01,4.63
,Q4,12,31,12/31/50,323826.201330711,126249.796313507,0.389868996995005,-0.941944501428226,0.567361276829405,0.567361276829405,1,,1971-06-01,4.91
1951,Q1,3,31,3/31/51,387986.537874008,137494.825794716,0.35438040337205,-1.03738435700564,0.515716098715749,0.515716098715749,1,,1971-07-01,5.31
,Q2,6,30,6/30/51,376924.410883785,136986.291996123,0.363431733367779,-1.01216380331086,0.528888149283923,0.528888149283922,1,,1971-08-01,5.57
,Q3,9,30,9/30/51,368074.709291606,149254.669887191,0.405501019546943,-0.90263189113404,0.590109954828562,0.590109954828562,1,,1971-09-01,5.55
,Q4,12,31,12/31/51,359225.007699427,147629,0.41096526365315,-0.889246584716639,0.598061857998346,0.598061857998346,1,,1971-10-01,5.20
1952,Q1,3,31,3/31/52,370388.235438982,151463,0.408930374963144,-0.89421036979446,0.595100563167861,0.595100563167862,1,,1971-11-01,4.91
,Q2,6,30,6/30/52,375456.143372311,157607,0.419774726774715,-0.868037076421897,0.610881929056463,0.610881929056463,1,,1971-12-01,4.14
,Q3,9,30,9/30/52,375946.146333282,156907,0.417365629440179,-0.87379263214692,0.607376062854575,0.607376062854575,1,,1972-01-01,3.51
,Q4,12,31,12/31/52,377300.176551287,146628,0.388624254937418,-0.945142327781209,0.565549851841629,0.56554985184163,1,,1972-02-01,3.30
1953,Q1,3,31,3/31/53,381535.652939218,143052,0.374937437426823,-0.980996100458459,0.545631955526725,0.545631955526725,1,,1972-03-01,3.83
,Q2,6,30,6/30/53,387220.455883574,133816,0.345580916417893,-1.06252846227507,0.502910545588327,0.502910545588327,1,,1972-04-01,4.17
,Q3,9,30,9/30/53,392975.455307381,129274,0.328962021047557,-1.11181297242561,0.478725709734532,0.478725709734531,1,,1972-05-01,4.27
,Q4,12,31,12/31/53,392751.480080991,144082,0.366852850485218,-1.00279446368681,0.533866768745571,0.533866768745571,1,,1972-06-01,4.46
1954,Q1,3,31,3/31/54,397274.187251093,156255,0.393317776524053,-0.933137402182741,0.572380152329087,0.572380152329087,1,,1972-07-01,4.55
,Q2,6,30,6/30/54,402310.708979455,172550,0.428897357561545,-0.846537648444602,0.624157740909041,0.624157740909041,1,,1972-08-01,4.81
,Q3,9,30,9/30/54,404613.418413776,191985,0.474489948337965,-0.745514844848914,0.690506875403574,0.690506875403574,1,,1972-09-01,4.87
,Q4,12,31,12/31/54,405271.808729134,194840,0.480763763487488,-0.732379265723913,0.69963691601019,0.69963691601019,1,,1972-10-01,5.05
1955,Q1,3,31,3/31/55,410855.655353899,202122,0.491953797802535,-0.709370473804775,0.715921340280097,0.715921340280098,1,,1972-11-01,5.06
,Q2,6,30,6/30/55,418995.803276668,225533,0.538270307808018,-0.619394414126559,0.783323966437954,0.783323966437954,1,,1972-12-01,5.33
,Q3,9,30,9/30/55,429707.057011656,240995,0.560835564758861,-0.578327527371622,0.816162312380547,0.816162312380548,1,,1973-01-01,5.94
,Q4,12,31,12/31/55,438978.020669851,244222,0.556342205077452,-0.586371697301686,0.809623299774396,0.809623299774396,1,,1973-02-01,6.58
1956,Q1,3,31,3/31/56,455786.242032429,262345,0.575587799294157,-0.552363500694343,0.837630668896568,0.837630668896569,1,,1973-03-01,7.09
,Q2,6,30,6/30/56,462016.116269399,252704,0.546959275015094,-0.603380930858145,0.795968684450755,0.795968684450755,1,,1973-04-01,7.12
,Q3,9,30,9/30/56,475362.313756119,246833,0.519252353114883,-0.655365284479067,0.755647872312626,0.755647872312626,1,,1973-05-01,7.84
,Q4,12,31,12/31/56,483191.431088922,268373,0.555417548269003,-0.588035108877562,0.80827768247342,0.80827768247342,1,,1973-06-01,8.49
1957,Q1,3,31,3/31/57,493293.146384477,254023,0.514953434609473,-0.663678800640409,0.749391822431732,0.749391822431732,1,,1973-07-01,10.40
,Q2,6,30,6/30/57,501100.634740577,273076,0.544952412884835,-0.607056803938782,0.793048175589008,0.793048175589008,1,,1973-08-01,10.50
,Q3,9,30,9/30/57,507897.562608006,245392,0.483152545052461,-0.727422846926848,0.703113217458153,0.703113217458153,1,,1973-09-01,10.78
,Q4,12,31,12/31/57,509176.51650888,245747,0.482636162572738,-0.728492195791363,0.702361746001622,0.702361746001623,1,,1973-10-01,10.01
1958,Q1,3,31,3/31/58,513480.232828496,261319,0.508917351229918,-0.675469650409703,0.740607743677921,0.740607743677922,1,,1973-11-01,10.03
,Q2,6,30,6/30/58,517471.307504115,278565,0.538319701904989,-0.619302653852805,0.783395847757426,0.783395847757426,1,,1973-12-01,9.95
,Q3,9,30,9/30/58,522394.749981353,310541,0.594456586730791,-0.520107590360821,0.865089685681143,0.865089685681144,1,,1974-01-01,9.65
,Q4,12,31,12/31/58,524651.639810593,324670,0.618829667848195,-0.4799252172693,0.900558888232825,0.900558888232826,1,,1974-02-01,8.97
1959,Q1,3,31,3/31/59,531387.349280758,332012,0.624802228448577,-0.470320113803967,0.909250524742249,0.909250524742249,1,,1974-03-01,9.35
,Q2,6,30,6/30/59,538129.260621941,346451,0.64380628475692,-0.440357398194092,0.936906393085577,0.936906393085577,1,,1974-04-01,10.51
,Q3,9,30,9/30/59,545200.083678255,339875,0.623394988692948,-0.47257495035149,0.907202623137574,0.907202623137575,1,,1974-05-01,11.31
,Q4,12,31,12/31/59,547636.110135304,362157,0.661309569068632,-0.413533214319061,0.962378245970377,0.962378245970376,1,,1974-06-01,11.93
